Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
21,60,RL,103.0,14208,Pave,,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,TwnhsE,2Story,15,-1,2006,2005,Gable,CompShg,VinylSd,MetalSd,BrkFace,379.0,Gd,TA,CBlock,Gd,TA,No,GLQ,-5,Unf,0,1158,1156,GasA,Gd,Y,FuseA,1163,1211,3,2380,-2,-6,-5,-3,-2,4,TA,3,Typ,-1,TA,BuiltIn,2006.0,RFn,6,860,TA,TA,Y,247,161,9,-9,-2,9,,,Othr,-10,4,2005,WD,Normal,325307
22,45,RM,66.0,7440,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,13,1929,1951,Gable,CompShg,VinylSd,Wd Shng,None,-6.0,TA,TA,CBlock,Gd,TA,Av,Unf,-4,Unf,-9,635,639,GasA,Ex,Y,SBrkr,1115,-4,8,1115,-2,-7,-4,1,3,8,Gd,0,Typ,7,Gd,Attchd,1929.0,Fin,-3,270,TA,TA,Y,9,-2,214,-4,-3,-10,,,,-1,4,2008,WD,Normal,139394
23,20,RL,80.0,9749,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,11,1,2003,2001,Gable,CompShg,VinylSd,MetalSd,None,290.0,Gd,TA,PConc,Fa,TA,No,GLQ,-3,Unf,-6,1776,1769,GasA,Ex,Y,SBrkr,1792,0,-8,1792,-7,-7,0,4,-5,-2,Gd,6,Typ,3,TA,Detchd,2003.0,Fin,-6,532,TA,TA,Y,162,161,-7,3,-4,1,,,,7,13,2007,WD,Normal,229995
24,120,RM,48.0,4216,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,9,6,1977,1977,Hip,CompShg,VinylSd,VinylSd,None,-9.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,835,Unf,-8,201,1042,GasA,TA,Y,SBrkr,1063,-8,3,1050,2,7,10,-5,-5,-8,TA,6,Min2,3,TA,Detchd,1975.0,Unf,-1,572,,TA,Y,91,117,2,8,-6,1,,,,6,5,2008,COD,Abnorml,129905
25,20,RL,,8250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,12,7,1967,2002,Gable,CompShg,VinylSd,Plywood,None,4.0,TA,TA,BrkTil,Gd,TA,Av,GLQ,193,Unf,658,203,1058,GasA,Gd,Y,SBrkr,1058,0,-8,1057,-5,-3,1,0,4,5,TA,6,Typ,6,TA,Attchd,1967.0,Unf,-6,278,TA,TA,Y,415,96,2,7,-2,-6,,,,-6,-1,2011,WD,Normal,153993
26,20,RL,105.0,14238,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NPkVill,Norm,Norm,1Fam,2Story,15,1,2006,2008,Gable,CompShg,VinylSd,VinylSd,None,631.0,Gd,TA,PConc,TA,TA,No,BLQ,-6,Unf,-2,1572,1556,GasA,Ex,Y,SBrkr,1609,2,7,1609,6,3,1,-6,2,0,TA,-3,Typ,7,,Attchd,2006.0,Unf,9,882,TA,TA,Y,3,65,7,1,8,1,,,,-3,-3,2010,WD,Normal,256292
27,20,RL,59.0,7198,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,11,12,1952,2001,Gable,CompShg,HdBoard,HdBoard,None,-5.0,TA,TA,CBlock,TA,TA,Mn,ALQ,231,Unf,477,171,896,GasA,TA,Y,SBrkr,897,-7,7,894,-5,5,-4,-5,1,-7,TA,2,Typ,6,,Attchd,2006.0,RFn,-3,575,TA,,Y,219,22,7,0,0,-7,,,,-7,10,2011,WD,Normal,134808
28,20,RL,101.0,11468,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,SLvl,13,1,2006,2007,Hip,CompShg,VinylSd,Plywood,None,203.0,Gd,TA,PConc,TA,TA,No,Unf,1215,Unf,-10,476,1704,GasA,Ex,Y,SBrkr,1707,-10,-5,1698,-9,-9,0,7,-5,3,Gd,0,Typ,7,,Attchd,2007.0,RFn,-2,771,TA,TA,Y,2,43,6,-2,-1,-10,,,,0,-4,2011,WD,Normal,305994
29,20,RL,43.0,16316,Pave,,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,TwnhsE,1.5Fin,9,-2,1958,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,3.0,TA,TA,PConc,,TA,No,GLQ,1270,Unf,7,199,1488,GasA,TA,N,SBrkr,1605,0,7,1596,2,9,-4,-4,-5,-4,Gd,0,Typ,11,,Attchd,1956.0,Unf,10,314,TA,TA,Y,284,260,-9,6,-4,4,,,,-6,9,2007,WD,Normal,207493
30,30,RM,63.0,6324,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,-1,0,1926,1949,Gable,CompShg,HdBoard,MetalSd,BrkFace,-4.0,Fa,TA,CBlock,TA,TA,No,,3,Unf,0,525,523,GasA,Ex,Y,SBrkr,521,-6,-6,517,5,-10,-5,0,5,0,TA,3,Typ,9,,Attchd,1921.0,RFn,-9,240,TA,TA,Y,57,3,81,-6,3,-7,,,,1,7,2007,WD,Normal,68498
31,70,C (all),58.0,8500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,5,8,1921,1951,Gable,CompShg,VinylSd,Brk Cmn,None,3.0,Ex,TA,PConc,TA,TA,No,GLQ,4,Unf,-8,656,658,GasA,Ex,Y,SBrkr,640,677,6,1326,1,8,6,0,-5,9,TA,14,Typ,-5,,Attchd,1919.0,Fin,9,244,TA,TA,Y,9,47,180,-6,-8,-9,,,,3,2,2007,WD,Normal,39993
32,20,RL,,8540,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,TwnhsE,1Story,-5,13,1965,2007,Gable,CompShg,BrkFace,Wd Shng,None,-8.0,Gd,TA,PConc,Gd,TA,No,Unf,4,Unf,-4,1224,1227,GasA,Gd,Y,SBrkr,1231,-8,-2,1221,1,-7,2,9,2,3,TA,7,Typ,0,,Attchd,1967.0,Unf,10,277,TA,TA,Y,1,62,-2,3,-8,9,,,,1,15,2009,WD,Normal,149349
33,20,RL,78.0,11050,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,1Story,-1,14,2006,2008,Gable,CompShg,MetalSd,Plywood,None,-8.0,TA,TA,PConc,TA,TA,No,GLQ,9,Unf,9,1243,1233,GasA,TA,Y,SBrkr,1232,-5,3,1240,-8,8,9,9,-6,-9,Ex,14,Typ,1,,Attchd,2006.0,Fin,0,486,TA,,Y,3,33,4,-1,0,-4,,,,2,9,2009,New,Normal,179897
34,20,RL,78.0,10558,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,6,10,1960,1960,Gable,CompShg,HdBoard,MetalSd,BrkFace,-4.0,TA,TA,CBlock,Gd,TA,No,ALQ,1027,Unf,6,378,1388,GasA,Ex,Y,SBrkr,1708,0,-7,1691,0,8,-2,4,-1,9,TA,9,Min2,10,,Attchd,1960.0,Unf,8,437,TA,TA,Y,8,46,-9,0,0,9,,MnPrv,,-9,6,2009,WD,Normal,165493
35,120,RL,60.0,7315,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,18,8,2004,2006,Gable,CompShg,Plywood,Wd Sdng,None,239.0,TA,TA,PConc,TA,TA,No,BLQ,1147,Unf,7,407,1561,GasA,Ex,Y,SBrkr,1568,-7,-7,1562,-6,-2,7,6,-2,4,Gd,-2,Typ,-6,,Attchd,2006.0,Fin,-1,557,TA,TA,Y,196,53,0,-5,-6,7,,MnPrv,,-7,4,2008,WD,Partial,277490
36,60,RL,107.0,13422,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,TwnhsE,1Story,8,5,2005,2004,Hip,CompShg,VinylSd,Stucco,Stone,133.0,TA,TA,PConc,TA,Gd,No,Unf,6,Unf,-2,1121,1116,GasA,Ex,Y,SBrkr,1127,1311,-10,2457,4,-6,7,7,10,8,Ex,12,Typ,-9,Gd,Attchd,2005.0,Unf,3,691,TA,TA,Y,121,29,-7,-2,-1,9,,,,-10,18,2005,WD,Abnorml,308990
37,20,RL,111.0,10856,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,TwnhsE,2Story,5,-2,1993,1996,Hip,CompShg,VinylSd,Wd Sdng,Stone,-9.0,TA,Gd,PConc,Gd,TA,No,ALQ,-5,LwQ,-5,1095,1101,GasA,Ex,Y,SBrkr,1101,-5,3,1095,8,9,-9,-9,-4,-6,Gd,7,Typ,-4,,Attchd,1994.0,Fin,3,673,Fa,,Y,399,73,-2,-4,-10,-1,,,,-7,-3,2008,WD,Family,145001
38,20,RL,69.0,8529,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,11,13,1955,1989,Hip,CompShg,HdBoard,Wd Sdng,None,657.0,TA,TA,PConc,TA,Gd,No,Unf,1218,Unf,-1,83,1305,GasA,Ex,Y,SBrkr,1291,3,3,1300,-10,10,-8,3,10,0,TA,-3,Typ,6,Gd,Attchd,1953.0,Unf,10,498,,TA,Y,-4,-8,-8,-10,-9,-5,,MnPrv,,1,13,2008,New,Normal,152992
39,20,RL,67.0,7920,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,-3,14,1954,2006,Gable,CompShg,Wd Sdng,CmentBd,BrkFace,9.0,Gd,TA,CBlock,Ex,TA,No,ALQ,724,Unf,0,318,1063,GasA,Ex,Y,SBrkr,1065,-3,-4,1066,9,-4,-4,-9,12,0,Fa,-4,Typ,-7,,Attchd,1952.0,RFn,1,252,TA,TA,Y,-10,45,-10,4,2,1,,,Shed,1,5,2009,WD,Normal,109003
40,90,RL,55.0,6035,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Blmngtn,Artery,Norm,1Fam,2Story,4,-4,1954,1956,Gable,CompShg,HdBoard,Wd Shng,BrkCmn,-4.0,TA,TA,PConc,TA,TA,No,Unf,4,Unf,7,-3,4,GasA,Ex,Y,SBrkr,1142,-9,-2,1147,-4,6,0,-3,1,7,Gd,1,Typ,-6,,Attchd,,Unf,1,6,TA,TA,Y,4,7,-10,5,-5,-8,,,,-3,7,2009,WD,Normal,82008
41,20,RL,90.0,8665,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Veenker,Feedr,Norm,1Fam,1Story,0,9,1966,1964,Gable,CompShg,BrkFace,VinylSd,None,95.0,Gd,TA,PConc,Gd,TA,No,Unf,640,Unf,-2,450,1084,GasA,Fa,Y,SBrkr,1314,0,5,1322,-4,-3,6,-1,7,-1,Ex,9,Typ,-1,,Detchd,1964.0,Unf,9,431,TA,TA,Y,8,132,-2,-10,-6,-6,,,,2,15,2007,WD,Normal,159993
42,20,RL,119.0,16901,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,10,9,1960,1958,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0,TA,TA,PConc,Gd,Fa,,Unf,971,Unf,-3,373,1345,GasA,Ex,Y,FuseA,1336,8,3,1334,-3,-9,6,-9,1,-9,TA,5,Typ,3,,Attchd,1960.0,RFn,8,299,TA,TA,Y,-1,102,1,8,0,-9,,,,-10,-1,2006,WD,Abnorml,169996
43,85,RL,,9181,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,-4,11,1982,1984,Gable,CompShg,Wd Sdng,VinylSd,Stone,-8.0,TA,TA,CBlock,Gd,Fa,No,Unf,741,Unf,90,-2,838,GasA,Ex,Y,SBrkr,878,-6,-3,884,-1,-1,10,1,5,-7,TA,5,Typ,2,Gd,Detchd,1982.0,Fin,-4,513,TA,TA,P,249,-7,7,-3,-3,9,,,,-1,21,2006,WD,Alloca,143990
44,20,RL,,9200,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,5,11,1974,1981,Gambrel,CompShg,Wd Sdng,HdBoard,None,-4.0,Gd,TA,CBlock,Ex,TA,No,Unf,277,Unf,499,164,941,GasA,Gd,N,SBrkr,944,2,8,944,-1,-5,3,1,3,1,TA,-2,Min2,-7,TA,Detchd,1976.0,Unf,7,310,TA,TA,Y,146,-8,4,1,8,-3,,,,3,8,2009,WD,Abnorml,130249
45,20,RL,67.0,7952,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,1Fam,1Story,3,-4,1958,1960,Gable,CompShg,VinylSd,HdBoard,None,7.0,TA,TA,CBlock,Gd,TA,No,ALQ,176,Unf,499,463,1144,GasA,TA,Y,SBrkr,1159,1,-6,1149,-3,2,-3,-10,12,-2,Gd,0,Typ,-4,,Detchd,1960.0,Unf,0,303,TA,TA,P,-5,0,-8,-10,-3,-9,,,,-7,10,2007,WD,Normal,141003
46,120,RL,56.0,7654,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,1Fam,1Story,3,7,2004,2004,Gable,CompShg,MetalSd,Wd Sdng,BrkFace,421.0,TA,TA,PConc,Gd,TA,Av,GLQ,464,Unf,8,1305,1755,GasA,Ex,Y,SBrkr,1751,6,-8,1742,-3,-10,-8,1,5,-1,Gd,11,Typ,8,,Attchd,2006.0,Unf,0,566,TA,,Y,187,84,-6,0,-5,6,,,,-1,6,2009,COD,Normal,319901
47,50,RL,54.0,12831,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,13,0,2002,2004,Gable,CompShg,Plywood,MetalSd,None,-1.0,TA,TA,CBlock,TA,TA,Av,GLQ,1348,Unf,9,81,1432,GasA,Ex,Y,SBrkr,1525,629,-2,2152,2,-5,4,0,-8,-4,Gd,9,Typ,-8,Gd,Detchd,2002.0,Unf,-2,673,TA,TA,N,167,51,-7,-2,206,-8,,,,-4,17,2008,WD,Normal,239682
48,20,FV,90.0,11103,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,17,8,2007,2007,Gable,CompShg,MetalSd,HdBoard,BrkFace,9.0,TA,TA,PConc,TA,TA,No,ALQ,20,Unf,-3,1629,1659,GasA,Ex,Y,SBrkr,1658,3,-2,1647,-7,-3,1,7,-7,1,TA,5,Typ,-2,,CarPort,2007.0,Unf,-5,822,TA,TA,Y,6,154,-7,-5,-6,9,,MnPrv,,8,8,2006,COD,Normal,249708
